failure,smart_1_raw,smart_5_raw,smart_9_raw,smart_194_raw,smart_197_raw
1,1,2,16997,34,0
1,164111782,0,12045,24,0
1,0,0,19262,35,0
0,0,5,12682,26,0
0,0,4,16089,31,2
1,115398680,0,29516,21,0
1,0,34,18794,22,0
1,0,0,914,24,0
1,162799672,0,7651,23,0
0,0,4,15028,26,0
1,0,0,17390,27,0
0,0,0,19833,30,0
1,22289208,0,28136,22,0
0,8428976,0,9284,24,0
0,138784976,0,9484,22,0
1,4,0,35259,26,0
0,0,4,12682,29,3
0,103566872,0,9021,30,0
0,0,0,21053,31,0
1,0,0,18115,29,0
0,0,0,21056,30,0
0,65538,1,9756,22,0
0,0,4,12506,29,0
1,0,0,11300,30,0
0,193521575,0,30033,24,0
0,0,3,15025,24,0
1,0,0,24548,22,0
1,0,3,13244,22,1
0,97780328,0,1306,24,0
1,93444272,0,9535,27,0
0,112595795,0,30350,17,0
0,115976744,0,5312,29,0
0,0,0,937,28,0
0,0,3,8584,25,0
1,0,3,3775,28,5
1,40326000,0,8090,27,0
0,0,0,17806,23,0
0,6347547,0,30673,23,0
0,9,0,34972,27,0
0,5505075,0,15749,28,0
0,95260824,0,9023,22,0
1,0,2,15026,26,0
1,100267141,5,32772,31,0
1,0,2,14802,28,0
1,0,0,18754,26,0
1,0,0,10953,25,0
1,163528232,0,6713,27,0
0,200066344,0,8526,22,0
1,0,2,13547,31,0
0,0,0,10392,30,0
0,3,0,34946,21,0
0,0,0,16994,29,0
0,0,2,13545,27,0
1,209725736,0,8112,22,0
0,0,0,11660,28,0
1,0,2,4262,25,0
1,0,2,4199,30,0
0,235038342,0,7190,19,0
0,0,1,14052,28,0
1,66547200,0,8111,24,0
0,0,0,18115,31,0
1,139081736,0,9537,21,0
1,327686,0,23503,26,0
1,0,1,13245,25,0
0,129697733,0,10211,26,0
1,94041818,0,11045,28,0
1,68653368,0,5930,23,0
1,133654336,0,2280,27,0
0,108699376,0,6471,28,0
0,0,1,13244,24,0
0,0,0,18405,34,0
1,10873280,0,5912,26,0
0,11,0,35474,28,0
1,0,1,12683,28,0
0,0,1,12611,28,0
1,204195550,88,31443,22,5
1,87163902,0,28482,24,0
1,0,1,10908,20,0
1,0,1,8913,29,0
1,0,0,17613,27,0
0,0,1,8912,22,0
0,0,0,35249,29,0
0,0,0,16089,32,0
0,0,0,16994,28,0
1,65536,0,17873,22,0
1,0,0,17873,26,0
1,1,1,8602,28,0
1,23457799,0,30673,21,0
